CODIGO_FILIAL;TICKET;DATA_VENDA;ITEM;TERMINAL;LANCAMENTO_CAIXA;NUMERO_CUPOM_FISCAL;PERIODO_FECHAMENTO;VENDEDOR;VENDEDOR_APELIDO;PRODUTO;DESC_PRODUTO;COR_PRODUTO;TAMANHO;QTDE;QTDE_LIQUIDA;QTDE_TROCA;VALOR_LIQUIDO_VENDA;VALOR_TROCA;VALOR_DESCONTOS;VALOR_PAGO;VALOR_FRETE;VALOR_VENDA_BRUTA;TIPO_PRODUTO;TABELA_MEDIDAS;GRUPO_PRODUTO;SUBGRUPO_PRODUTO;COLECAO;GRADE;LINHA;GRIFFE;CARTELA;REFER_FABRICANTE;MODELAGEM;FABRICANTE;ESTILISTA;MODELISTA;TAM;COD_CATEGORIA;CATEGORIA_PRODUTO;SUBCATEGORIA_PRODUTO;COD_CATEGORIA;CATEGORIA_PRODUTO;SUBCATEGORIA_PRODUTO
4047;9349;11/08/2025;7;1;118P00A;8162;1;4741;ANA LÚCIA                ;DL0381      ;SCALDAMUSCOLO DONNA                     ;9885_V2   ;1;1;1;0;44,39;0;56;4439;0;4495;PRODUTO ACABADO          ;;CALZINI                  ;LUNGO                    ;1;TU CLZ CALZE-GAMBALETTI D;CALZEDONIA               ;CALZEDONIA ( CZ )        ;      ;DL0381                   ;;CALZEDONIA S.P.A.        ;                         ;                         ;TU      ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;8899;13/07/2025;1;1;137P00E;7763;1;4452;GISLEY                   ;DL0381      ;SCALDAMUSCOLO DONNA                     ;9885_V2   ;1;1;1;0;62,93;0;0;6293;0;6293;PRODUTO ACABADO          ;;CALZINI                  ;LUNGO                    ;1;TU CLZ CALZE-GAMBALETTI D;CALZEDONIA               ;CALZEDONIA ( CZ )        ;      ;DL0381                   ;;CALZEDONIA S.P.A.        ;                         ;                         ;TU      ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;10822;21/11/2025;3;1;21BP010;9385;1;5087;LARISSE                  ;MODC1968    ;COLLANT RETE POIS                       ;4051_V3   ;5;1;1;0;47;0;0;47;0;47;PRODUTO ACABADO          ;;CALZE E COLLANT          ;COLLANT                  ;1;1   XLSHO CLZ COLLANT DON;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODC1968                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;3/4     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;6649;27/01/2025;3;1;271P004;5770;1;4076;ALEXSANDRA               ;MODC1968    ;COLLANT RETE POIS                       ;4051_V3   ;2;1;1;0;28,2;0;0;2820;0;2820;PRODUTO ACABADO          ;;CALZE E COLLANT          ;COLLANT                  ;1;1   XLSHO CLZ COLLANT DON;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODC1968                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;1/2     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;7095;28/02/2025;1;1;282P014;6167;1;3550;ANA BEATRIZ              ;MODC2007    ;COLLANT RETE GLITTER                    ;4696_V3   ;2;1;1;0;94;0;0;94;0;94;PRODUTO ACABADO          ;;CALZE E COLLANT          ;COLLANT                  ;1;1   XLSHO CLZ COLLANT DON;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODC2007                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;1/2     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;8262;09/06/2025;4;1;096P00C;7182;1;3552;SAMIA                    ;MODC2007    ;COLLANT RETE GLITTER                    ;5302_V2   ;5;1;1;0;93,7;0;30;9370;0;94;PRODUTO ACABADO          ;;CALZE E COLLANT          ;COLLANT                  ;1;1   XLSHO CLZ COLLANT DON;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODC2007                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;3/4     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;6967;21/02/2025;1;1;212P00A;6056;1;4120;ANA JULIA                ;MODC2007    ;COLLANT RETE GLITTER                    ;5302_V2   ;2;1;1;0;93,75;0;25;9375;0;94;PRODUTO ACABADO          ;;CALZE E COLLANT          ;COLLANT                  ;1;1   XLSHO CLZ COLLANT DON;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODC2007                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;1/2     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;6347;09/01/2025;1;1;091P005;5499;1;4452;GISLEY                   ;MODC2007    ;COLLANT RETE GLITTER                    ;5302_V2   ;5;1;1;0;93,7;0;30;9370;0;94;PRODUTO ACABADO          ;;CALZE E COLLANT          ;COLLANT                  ;1;1   XLSHO CLZ COLLANT DON;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODC2007                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;3/4     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;6347;09/01/2025;2;1;091P005;5499;1;4452;GISLEY                   ;MODC2007    ;COLLANT RETE GLITTER                    ;4696_V3   ;5;1;1;0;93,7;0;30;9370;0;94;PRODUTO ACABADO          ;;CALZE E COLLANT          ;COLLANT                  ;1;1   XLSHO CLZ COLLANT DON;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODC2007                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;3/4     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
4047;6936;19/02/2025;1;1;192P007;6028;1;4452;GISLEY                   ;MODC2007    ;COLLANT RETE GLITTER                    ;4696_V3   ;2;1;1;0;94;0;0;94;0;94;PRODUTO ACABADO          ;;CALZE E COLLANT          ;COLLANT                  ;1;1   XLSHO CLZ COLLANT DON;CALZEDONIA               ;INTIMISSIMI ( IN )       ;      ;MODC2007                 ;;CALZEDONIA S.P.A.        ;                         ;                         ;1/2     ;1;SENHORA                  ;SENHORA                  ;1;SENHORA                  ;SENHORA                  
