CODIGO_FILIAL;TICKET;DATA_VENDA;ITEM;TERMINAL;LANCAMENTO_CAIXA;NUMERO_CUPOM_FISCAL;PERIODO_FECHAMENTO;VENDEDOR;VENDEDOR_APELIDO;PRODUTO;DESC_PRODUTO;COR_PRODUTO;TAMANHO;QTDE;QTDE_LIQUIDA;QTDE_TROCA;VALOR_LIQUIDO_VENDA;VALOR_TROCA;VALOR_DESCONTOS;VALOR_PAGO;VALOR_FRETE;VALOR_VENDA_BRUTA;TIPO_PRODUTO;TABELA_MEDIDAS;GRUPO_PRODUTO;SUBGRUPO_PRODUTO;COLECAO;GRADE;LINHA;GRIFFE;CARTELA;REFER_FABRICANTE;MODELAGEM;FABRICANTE;ESTILISTA;MODELISTA;TAM;COD_CATEGORIA;CATEGORIA_PRODUTO;SUBCATEGORIA_PRODUTO;SUBCATEGORIA_PRODUTO
3044;30468;01/02/2025;5;1;012P00D;25270;1;3960;CRISLANE                 ;SBD96P      ;BRASILIANO TUTTO PIZZO                  ;1473      ;3;1;1;0;88,85;0;15;8885;0;89;PRODUTO ACABADO          ;;INTIMO                   ;INTIMO SLIPS             ;2;TAGLIE 1-6 PBD INT       ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;SBD96P                   ;;CALZEDONIA S.P.A.        ;                         ;                         ;3       ;1;SENHORA                  ;SENHORA                  ;SENHORA                  
3044;33454;01/09/2025;1;1;019P008;2200;1;3960;CRISLANE                 ;RI49T2      ;SUTIA                                   ;044_V2    ;9;1;1;0;1,01;0;0;101;0;101;PRODUTO ACABADO          ;;INTIMO                   ;INTIMO SOUTIENS          ;2;REGGISENI INTI           ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;RI49T2                   ;;CALZEDONIA S.P.A.        ;                         ;                         ;2B      ;1;SENHORA                  ;SENHORA                  ;SENHORA                  
3044;33454;01/09/2025;4;1;019P008;2200;1;3960;CRISLANE                 ;RI49T2      ;SUTIA                                   ;044_V2    ;10;1;1;0;228,67;0;33;22867;0;229;PRODUTO ACABADO          ;;INTIMO                   ;INTIMO SOUTIENS          ;2;REGGISENI INTI           ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;RI49T2                   ;;CALZEDONIA S.P.A.        ;                         ;                         ;2C      ;1;SENHORA                  ;SENHORA                  ;SENHORA                  
3044;33454;01/09/2025;3;1;019P008;2200;1;3960;CRISLANE                 ;RI49T2      ;SUTIA                                   ;417I      ;10;1;1;0;228,67;0;33;22867;0;229;PRODUTO ACABADO          ;;INTIMO                   ;INTIMO SOUTIENS          ;2;REGGISENI INTI           ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;RI49T2                   ;;CALZEDONIA S.P.A.        ;                         ;                         ;2C      ;1;SENHORA                  ;SENHORA                  ;SENHORA                  
3044;33454;01/09/2025;2;1;019P008;2200;1;3960;CRISLANE                 ;RI49T2      ;SUTIA                                   ;019       ;10;1;1;0;228,66;0;34;22866;0;229;PRODUTO ACABADO          ;;INTIMO                   ;INTIMO SOUTIENS          ;2;REGGISENI INTI           ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;RI49T2                   ;;CALZEDONIA S.P.A.        ;                         ;                         ;2C      ;1;SENHORA                  ;SENHORA                  ;SENHORA                  
3044;33461;01/09/2025;3;1;019P00F;2206;1;3960;CRISLANE                 ;SBD49V      ;CALCINHA                                ;044       ;23;1;1;0;1,01;0;0;101;0;101;PRODUTO ACABADO          ;;INTIMO                   ;INTIMO SLIPS             ;2;TAGLIE 1-6 PBD INT+CZD   ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;SBD49V                   ;;CALZEDONIA S.P.A.        ;                         ;                         ;2       ;1;SENHORA                  ;SENHORA                  ;SENHORA                  
3044;33461;01/09/2025;6;1;019P00F;2206;1;3960;CRISLANE                 ;RI49T2      ;SUTIA                                   ;044_V2    ;9;1;1;0;1,01;0;0;101;0;101;PRODUTO ACABADO          ;;INTIMO                   ;INTIMO SOUTIENS          ;2;REGGISENI INTI           ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;RI49T2                   ;;CALZEDONIA S.P.A.        ;                         ;                         ;2B      ;1;SENHORA                  ;SENHORA                  ;SENHORA                  
3044;30468;01/02/2025;4;1;012P00D;25270;1;3960;CRISLANE                 ;SID97P      ;SLIP BASSO PIZZO                        ;7854      ;2;1;1;0;1,01;0;0;101;0;101;PRODUTO ACABADO          ;;INTIMO                   ;INTIMO SLIPS             ;1;TAGLIE 1-6 PBD INT       ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;SID97P                   ;;CALZEDONIA S.P.A.        ;                         ;                         ;2       ;1;SENHORA                  ;SENHORA                  ;SENHORA                  
3044;30468;01/02/2025;1;1;012P00D;25270;1;3960;CRISLANE                 ;LBD1319     ;BABYDOLL TULLE E PIZZO IN FULL BLOOM    ;343J      ;3;1;1;0;298,51;0;49;29851;0;299;PRODUTO ACABADO          ;;LINGERIE                 ;COMBINACAO               ;1;TAGLIE XS-XXL DONNA INT  ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;LBD1319                  ;;CALZEDONIA S.P.A.        ;                         ;                         ;M       ;1;SENHORA                  ;SENHORA                  ;SENHORA                  
3044;30471;01/02/2025;1;1;012P010;25273;1;3960;CRISLANE                 ;PLU12A      ;PIGIAMA GIROCOLLO SUPIMA COTTON         ;800       ;27;1;1;0;379;0;0;379;0;379;PRODUTO ACABADO          ;;EASYWEAR                 ;EASYWEAR COMPLETO        ;2;TAGLIE  XS-XXL           ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;PLU12A                   ;;CALZEDONIA S.P.A.        ;                         ;                         ;XXL     ;2;HOMEM                    ;HOMEM                    ;SENHORA                  
3044;29865;02/01/2025;1;1;021P00F;24734;1;3960;CRISLANE                 ;SID65A      ;CALCINHA                                ;031       ;24;1;1;0;1,01;0;0;101;0;101;PRODUTO ACABADO          ;;INTIMO                   ;INTIMO SLIPS             ;2;SCALARINO TO             ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;SID65A                   ;;CALZEDONIA S.P.A.        ;                         ;                         ;2       ;1;SENHORA                  ;SENHORA                  ;SENHORA                  
3044;29865;02/01/2025;5;1;021P00F;24734;1;3960;CRISLANE                 ;SID65A      ;CALCINHA                                ;044       ;24;1;1;0;1,01;0;0;101;0;101;PRODUTO ACABADO          ;;INTIMO                   ;INTIMO SLIPS             ;2;SCALARINO TO             ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;SID65A                   ;;CALZEDONIA S.P.A.        ;                         ;                         ;2       ;1;SENHORA                  ;SENHORA                  ;SENHORA                  
3044;29865;02/01/2025;8;1;021P00F;24734;1;3960;CRISLANE                 ;SID65A      ;CALCINHA                                ;001       ;24;1;1;0;58,73;0;27;5873;0;59;PRODUTO ACABADO          ;;INTIMO                   ;INTIMO SLIPS             ;2;SCALARINO TO             ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;SID65A                   ;;CALZEDONIA S.P.A.        ;                         ;                         ;2       ;1;SENHORA                  ;SENHORA                  ;SENHORA                  
3044;29865;02/01/2025;7;1;021P00F;24734;1;3960;CRISLANE                 ;SID65A      ;CALCINHA                                ;019       ;24;1;1;0;58,73;0;27;5873;0;59;PRODUTO ACABADO          ;;INTIMO                   ;INTIMO SLIPS             ;2;SCALARINO TO             ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;SID65A                   ;;CALZEDONIA S.P.A.        ;                         ;                         ;2       ;1;SENHORA                  ;SENHORA                  ;SENHORA                  
3044;33461;01/09/2025;7;1;019P00F;2206;1;3960;CRISLANE                 ;RI49T2      ;SUTIA                                   ;019       ;9;1;1;0;228,64;0;36;22864;0;229;PRODUTO ACABADO          ;;INTIMO                   ;INTIMO SOUTIENS          ;2;REGGISENI INTI           ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;RI49T2                   ;;CALZEDONIA S.P.A.        ;                         ;                         ;2B      ;1;SENHORA                  ;SENHORA                  ;SENHORA                  
3044;33461;01/09/2025;9;1;019P00F;2206;1;3960;CRISLANE                 ;LBD2562     ;BABYDOLL TULLE FROU FROU ROMANCE        ;019       ;2;1;1;0;348,44;0;56;34844;0;349;PRODUTO ACABADO          ;;LINGERIE                 ;COMBINACAO               ;1;TAGLIE XS-XXL DONNA INT  ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;LBD2562                  ;;CALZEDONIA S.P.A.        ;                         ;                         ;S       ;1;SENHORA                  ;SENHORA                  ;SENHORA                  
3044;29859;02/01/2025;5;1;021P009;24729;1;3960;CRISLANE                 ;SID2533     ;SLIP VACANZE ITALIANE                   ;2127      ;3;1;1;0;64,5;0;0;6450;0;6450;PRODUTO ACABADO          ;;INTIMO                   ;INTIMO SLIPS             ;1;TAGLIE 1-6 PBD INT       ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;SID2533                  ;;CALZEDONIA S.P.A.        ;                         ;                         ;3       ;1;SENHORA                  ;SENHORA                  ;SENHORA                  
3044;29865;02/01/2025;2;1;021P00F;24734;1;3960;CRISLANE                 ;SID11A      ;CALCINHA                                ;044_V2    ;2;1;1;0;68,69;0;31;6869;0;69;PRODUTO ACABADO          ;;INTIMO                   ;INTIMO SLIPS             ;2;TAGLIE 1-6 PBD INT       ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;SID11A                   ;;CALZEDONIA S.P.A.        ;                         ;                         ;2       ;1;SENHORA                  ;SENHORA                  ;SENHORA                  
