CODIGO_FILIAL;TICKET;DATA_VENDA;ITEM;TERMINAL;LANCAMENTO_CAIXA;NUMERO_CUPOM_FISCAL;PERIODO_FECHAMENTO;VENDEDOR;VENDEDOR_APELIDO;PRODUTO;DESC_PRODUTO;COR_PRODUTO;TAMANHO;QTDE;QTDE_LIQUIDA;QTDE_TROCA;VALOR_LIQUIDO_VENDA;VALOR_TROCA;VALOR_DESCONTOS;VALOR_PAGO;VALOR_FRETE;VALOR_VENDA_BRUTA;TIPO_PRODUTO;TABELA_MEDIDAS;GRUPO_PRODUTO;SUBGRUPO_PRODUTO;COLECAO;GRADE;LINHA;GRIFFE;CARTELA;REFER_FABRICANTE;MODELAGEM;FABRICANTE;ESTILISTA;MODELISTA;TAM;COD_CATEGORIA;CATEGORIA_PRODUTO;SUBCATEGORIA_PRODUTO;SUBCATEGORIA_PRODUTO
3058;29135;14/04/2025;6;1;144P004;26289;1;1077;GERENTE                  ;PLU12A      ;PIGIAMA GIROCOLLO SUPIMA COTTON         ;5227      ;24;1;1;0;401;0;0;0;0;401;PRODUTO ACABADO          ;;EASYWEAR                 ;EASYWEAR COMPLETO        ;2;TAGLIE  XS-XXL           ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;PLU12A                   ;;CALZEDONIA S.P.A.        ;                         ;                         ;M       ;2;HOMEM                    ;HOMEM                    ;SENHORA                  
3058;31308;02/09/2025;1;1;029P005;28095;1;4351;MILLA                    ;PLU12A      ;PIGIAMA GIROCOLLO SUPIMA COTTON         ;5227      ;27;1;1;0;399;0;0;399;0;399;PRODUTO ACABADO          ;;EASYWEAR                 ;EASYWEAR COMPLETO        ;2;TAGLIE  XS-XXL           ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;PLU12A                   ;;CALZEDONIA S.P.A.        ;                         ;                         ;XXL     ;2;HOMEM                    ;HOMEM                    ;SENHORA                  
3058;32943;13/12/2025;1;1;13CP015;29480;1;1530;MARCIA                   ;PLU12A      ;PIGIAMA GIROCOLLO SUPIMA COTTON         ;800       ;25;1;1;0;399;0;0;399;0;399;PRODUTO ACABADO          ;;EASYWEAR                 ;EASYWEAR COMPLETO        ;2;TAGLIE  XS-XXL           ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;PLU12A                   ;;CALZEDONIA S.P.A.        ;                         ;                         ;L       ;2;HOMEM                    ;HOMEM                    ;SENHORA                  
3058;27799;10/01/2025;4;1;101P00A;25202;1;1530;MARCIA                   ;PLU12A      ;PIGIAMA GIROCOLLO SUPIMA COTTON         ;5227      ;25;1;1;0;378,32;0;68;37832;0;379;PRODUTO ACABADO          ;;EASYWEAR                 ;EASYWEAR COMPLETO        ;2;TAGLIE  XS-XXL           ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;PLU12A                   ;;CALZEDONIA S.P.A.        ;                         ;                         ;L       ;2;HOMEM                    ;HOMEM                    ;SENHORA                  
3058;32763;04/12/2025;1;1;04CP00A;29325;1;1114;CRIS                     ;PLU12A      ;PIGIAMA GIROCOLLO SUPIMA COTTON         ;800       ;25;1;1;0;398,48;0;52;39848;0;399;PRODUTO ACABADO          ;;EASYWEAR                 ;EASYWEAR COMPLETO        ;2;TAGLIE  XS-XXL           ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;PLU12A                   ;;CALZEDONIA S.P.A.        ;                         ;                         ;L       ;2;HOMEM                    ;HOMEM                    ;SENHORA                  
3058;28524;24/02/2025;1;1;242P003;25787;1;1114;CRIS                     ;PLU12A      ;PIGIAMA GIROCOLLO SUPIMA COTTON         ;800       ;24;1;1;0;379;0;0;379;0;379;PRODUTO ACABADO          ;;EASYWEAR                 ;EASYWEAR COMPLETO        ;2;TAGLIE  XS-XXL           ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;PLU12A                   ;;CALZEDONIA S.P.A.        ;                         ;                         ;M       ;2;HOMEM                    ;HOMEM                    ;SENHORA                  
3058;33164;22/12/2025;1;1;22CP012;29678;1;4351;MILLA                    ;PLU12A      ;PIGIAMA GIROCOLLO SUPIMA COTTON         ;5227      ;26;1;1;0;399;0;0;399;0;399;PRODUTO ACABADO          ;;EASYWEAR                 ;EASYWEAR COMPLETO        ;2;TAGLIE  XS-XXL           ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;PLU12A                   ;;CALZEDONIA S.P.A.        ;                         ;                         ;XL      ;2;HOMEM                    ;HOMEM                    ;SENHORA                  
3058;28632;06/03/2025;1;1;063P005;25877;1;1114;CRIS                     ;PVD700      ;VESTAGLIA MODAL/EA INS.PIZZO            ;009J      ;24;1;1;0;359;0;0;359;0;359;PRODUTO ACABADO          ;;PIGIAMERIA               ;VESTAGLIA                ;2;TAGLIE  XS-XXL           ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;PVD700                   ;;CALZEDONIA S.P.A.        ;                         ;                         ;M       ;1;SENHORA                  ;SENHORA                  ;SENHORA                  
3058;27622;03/01/2025;1;1;031P018;25061;1;1530;MARCIA                   ;PVD700      ;VESTAGLIA MODAL/EA INS.PIZZO            ;009J      ;24;0;-1;-1;-359;-359;0;0;0;0;PRODUTO ACABADO          ;;PIGIAMERIA               ;VESTAGLIA                ;2;TAGLIE  XS-XXL           ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;PVD700                   ;;CALZEDONIA S.P.A.        ;                         ;                         ;M       ;1;SENHORA                  ;SENHORA                  ;SENHORA                  
3058;31659;27/09/2025;1;1;279P004;28388;1;4351;MILLA                    ;PVD700      ;VESTAGLIA MODAL/EA INS.PIZZO            ;008J      ;25;1;1;0;358,71;0;29;35871;0;359;PRODUTO ACABADO          ;;PIGIAMERIA               ;VESTAGLIA                ;2;TAGLIE  XS-XXL           ;INTIMISSIMI              ;INTIMISSIMI ( IN )       ;      ;PVD700                   ;;CALZEDONIA S.P.A.        ;                         ;                         ;L       ;1;SENHORA                  ;SENHORA                  ;SENHORA                  
